locality,sample_point,parameter,uom,result_value,data_qualifier,result_datetime,rn
Mountcrest,Lakevale,"Chlorine, Free",mg/L,0.41,=,2025-31-10 12:12:00,1
Newvale,Newford,"Chlorine, Free",mg/L,1.12,=,2025-31-01 13:13:00,1
Northham,Fortbury,"Chlorine, Free",mg/L,0.96,=,2025-31-03 15:15:00,1
Northside,Fortbridge,Chlorine Tank Residual,mg/L,0.63,=,2025-30-04 09:09:00,1
Northside,Lakebridge,Chlorine Tank Level,L,747.0,=,2025-30-10 08:08:00,1
Northside,Lakebridge,Chlorine Tank Residual,mg/L,0.96,=,2025-30-10 08:08:00,1
Northside,Lakeford,Chlorine Tank Level,L,663.0,=,2025-30-10 09:09:00,1
Northside,Lakeford,Chlorine Tank Residual,mg/L,1.05,=,2025-30-10 09:09:00,1
Northside,Lakevale,Chlorine Tank Level,L,760.0,=,2025-30-07 03:03:00,1
Northside,Lakevale,Chlorine Tank Residual,mg/L,0.91,=,2025-30-07 03:03:00,1
Northside,Mountvale,Chlorine Tank Level,L,710.0,=,2025-30-10 11:11:00,1
Northside,Mountvale,Chlorine Tank Residual,mg/L,0.68,=,2025-30-10 11:11:00,1
Northside,Newham,Chlorine Tank Level,L,880.0,=,2025-30-10 08:08:00,1
Northside,Newham,Chlorine Tank Residual,mg/L,1.0,=,2025-30-10 08:08:00,1
Northside,Westcrest,Chlorine Tank Level,L,66.0,=,2025-30-07 02:02:00,1
Northside,Westcrest,Chlorine Tank Residual,mg/L,1.2,=,2025-30-07 02:02:00,1
Portford,Eastside,"Chlorine, Free",mg/L,1.08,=,2025-31-03 01:01:00,1
Portford,Eastton,Chlorine Tank Level,L,552.0,=,2025-30-03 23:23:00,1
Portford,Eastview,"Chlorine, Free",mg/L,1.03,=,2025-31-10 09:09:00,1
Portford,Mountvale,Chlorine Tank Level,L,837.0,=,2025-31-10 09:09:00,1
Portford,Mountvale,"Chlorine, Free",mg/L,0.81,=,2025-31-10 09:09:00,1
Portford,Newham,Chlorine Tank Level,L,838.0,=,2025-31-10 10:10:00,1
Portford,Newham,"Chlorine, Free",mg/L,0.92,=,2025-31-10 10:10:00,1
Portford,Portfield,Chlorine Tank Level,L,677.0,=,2025-31-10 08:08:00,1
Portford,Portfield,"Chlorine, Free",mg/L,1.1,=,2025-31-10 09:09:00,1
Portford,Riverton,Chlorine Tank Level,L,680.0,=,2025-31-10 09:09:00,1
Portford,Riverton,"Chlorine, Free",mg/L,0.92,=,2025-31-10 10:10:00,1
Portford,Westford,Chlorine Tank Level,L,264.0,=,2025-31-01 10:10:00,1
Portford,Westford,"Chlorine, Free",mg/L,1.17,=,2025-31-01 10:10:00,1
Portvale,Westside,"Chlorine, Free",mg/L,1.36,=,2025-28-10 12:12:00,1
Southcrest,Northvale,"Chlorine, Free",mg/L,0.86,=,2025-30-06 15:15:00,1
Southford,Eastbridge,Chlorine Tank Level,L,74.0,=,2025-31-03 13:13:00,1
Southford,Eastbridge,"Chlorine, Free (Inflow)",,0.97,=,2025-31-03 13:13:00,1
Southford,Eastbridge,"Chlorine, Free (Outflow)",,0.79,=,2025-31-03 13:13:00,1
Southford,Eastbridge,"Chlorine, Free (madd)",mg/L,1.08,=,2025-31-03 13:13:00,1
Southford,Eastvale,Chlorine Tank Level,L,1257.0,=,2025-31-03 11:11:00,1
Southford,Eastvale,"Chlorine, Free",mg/L,0.82,=,2025-31-03 11:11:00,1
Southford,Fortcrest,"Chlorine, Free",mg/L,1.06,=,2025-31-03 13:13:00,1
Southford,Fortside,"Chlorine, Free",mg/L,0.74,=,2025-29-09 03:03:00,1
Southford,Lakecrest,Chlorine Tank Level,L,682.0,=,2025-31-03 09:09:00,1
Southford,Lakecrest,"Chlorine, Free",mg/L,0.98,=,2025-31-03 09:09:00,1
Southford,Lakefield,Chlorine Tank Level,L,1377.0,=,2025-30-07 12:12:00,1
Southford,Lakefield,"Chlorine, Free",mg/L,0.78,=,2025-31-03 12:12:00,1
Southford,Lakeham,Chlorine Tank Level,L,1341.0,=,2025-31-03 11:11:00,1
Southford,Lakeham,"Chlorine, Free",mg/L,0.89,=,2025-31-03 11:11:00,1
Southford,Mountfield,Chlorine Tank Level,L,330.0,=,2025-31-03 16:16:00,1
Southford,Mountfield,"Chlorine, Free (Inflow)",,0.73,=,2025-31-03 16:16:00,1
Southford,Mountfield,"Chlorine, Free (Outflow)",,0.85,=,2025-31-03 16:16:00,1
Southford,Newford,"Chlorine, Free",mg/L,0.78,=,2025-31-03 13:13:00,1
Southford,Northham,"Chlorine, Free",mg/L,0.74,=,2025-29-09 03:03:00,1
Southford,Southbridge,Chlorine Tank Level,L,170.0,=,2025-31-03 10:10:00,1
Southford,Southbridge,"Chlorine, Free",mg/L,0.89,=,2025-31-03 10:10:00,1
Southford,Southbury,"Chlorine, Free",mg/L,0.4,=,2025-31-03 10:10:00,1
Southside,Fortham,Chlorine Tank Level,L,110.0,=,2025-31-01 12:12:00,1
Southside,Fortham,Chlorine Tank Residual,mg/L,110.0,=,2025-31-01 12:12:00,1
Southside,Fortton,"Chlorine, Free",mg/L,0.66,=,2025-31-01 10:10:00,1
Southside,Lakecrest,Chlorine Tank Level,L,108.0,=,2025-30-09 13:13:00,1
Southside,Lakecrest,"Chlorine, Free",mg/L,0.84,=,2025-30-09 13:13:00,1
Southside,Lakevale,Chlorine Tank Level,L,61.0,=,2025-30-06 13:13:00,1
Southside,Lakevale,"Chlorine, Free",mg/L,0.95,=,2025-30-06 13:13:00,1
Southside,Newcrest,"Chlorine, Free",mg/L,0.86,=,2025-30-09 13:13:00,1
Southside,Newham,Chlorine Tank Level,L,168.0,=,2025-30-09 12:12:00,1
Southside,Newham,"Chlorine, Free",mg/L,1.22,=,2025-30-09 12:12:00,1
Southside,Riverbridge,Chlorine Tank Level,L,3580.0,=,2025-31-01 10:10:00,1
Southside,Riverbridge,"Chlorine, Free",mg/L,1.04,=,2025-30-09 15:15:00,1
Southside,Southside,"Chlorine, Free",mg/L,0.86,=,2025-30-09 13:13:00,1
Southside,Westham,Chlorine Tank Level,L,52.0,=,2025-30-06 14:14:00,1
Southside,Westham,"Chlorine, Free",mg/L,0.88,=,2025-30-09 11:11:00,1
Westside,Newton,Chlorine Tank Level,L,1096.0,=,2025-31-03 15:15:00,1
Westside,Newton,"Chlorine, Free",mg/L,1.07,=,2025-31-03 15:15:00,1
Westside,Portcrest,"Chlorine, Free",mg/L,0.62,=,2024-30-09 09:09:00,1
Westton,Southbridge,"Chlorine, Free",mg/L,0.82,=,2025-29-01 15:15:00,1
Westvale,Eastbury,"Chlorine, Free",mg/L,0.72,=,2025-31-03 15:15:00,1
